day_of_week,minute_of_day,current_occupied,current_empty,label_any_empty
0,565,6,0,0
1,235,1,5,1
1,110,0,6,1
5,625,0,6,1
1,764,6,0,0
4,791,4,2,1
3,1144,5,1,1
3,1395,1,5,1
0,737,4,2,1
4,864,6,0,0
5,69,0,6,1
3,824,6,0,0
1,495,3,3,1
3,1090,4,2,1
0,1016,0,6,1
6,183,0,6,1
4,1250,1,5,1
3,744,2,4,1
6,331,1,5,1
2,1023,6,0,0
5,719,0,6,1
0,1185,0,6,1
2,232,0,6,1
4,1126,2,4,1
4,885,2,4,1
5,159,0,6,1
2,362,1,5,1
4,306,0,6,1
1,1200,2,4,1
3,653,6,0,0
3,1390,3,3,1
0,1022,2,4,1
5,1280,2,4,1
4,736,6,0,0
0,710,6,0,0
2,239,0,6,1
6,939,1,5,1
5,492,0,6,1
4,86,0,6,1
2,839,5,1,1
4,1303,0,6,1
5,1184,3,3,1
6,1122,0,6,1
5,500,0,6,1
3,235,0,6,1
1,1221,1,5,1
6,226,1,5,1
3,776,6,0,0
0,184,1,5,1
1,24,0,6,1
4,114,0,6,1
6,204,1,5,1
2,429,4,2,1
1,353,1,5,1
3,999,6,0,0
4,783,6,0,0
3,975,5,1,1
0,546,5,1,1
4,407,0,6,1
2,1393,1,5,1
0,195,0,6,1
3,462,1,5,1
4,1340,0,6,1
1,235,0,6,1
0,806,6,0,0
1,1156,3,3,1
0,1163,6,0,0
0,345,3,3,1
5,9,0,6,1
6,320,0,6,1
1,829,6,0,0
3,899,5,1,1
3,233,3,3,1
0,141,0,6,1
4,875,6,0,0
6,581,4,2,1
6,1406,0,6,1
6,198,1,5,1
5,889,1,5,1
5,898,1,5,1
6,165,1,5,1
1,412,0,6,1
5,670,0,6,1
4,1260,0,6,1
6,1106,0,6,1
0,765,4,2,1
1,945,5,1,1
4,8,0,6,1
0,624,5,1,1
5,89,0,6,1
3,726,5,1,1
4,1037,0,6,1
4,785,6,0,0
1,1098,3,3,1
3,837,3,3,1
3,1352,3,3,1
1,685,5,1,1
3,1141,4,2,1
5,1232,2,4,1
1,548,6,0,0
1,716,6,0,0
1,1084,3,3,1
6,64,0,6,1
1,1007,3,3,1
2,1134,4,2,1
1,513,3,3,1
0,139,1,5,1
5,518,1,5,1
4,1001,1,5,1
0,229,0,6,1
0,314,3,3,1
5,723,2,4,1
4,670,4,2,1
2,374,2,4,1
5,766,2,4,1
3,412,0,6,1
5,1241,2,4,1
0,1395,0,6,1
6,1397,0,6,1
6,793,0,6,1
3,855,6,0,0
6,1046,4,2,1
4,812,6,0,0
4,1126,2,4,1
0,815,5,1,1
3,839,6,0,0
3,971,4,2,1
1,1019,3,3,1
3,585,6,0,0
4,1012,1,5,1
3,387,0,6,1
0,623,6,0,0
5,1397,0,6,1
0,808,6,0,0
1,832,6,0,0
4,454,0,6,1
0,923,5,1,1
3,1030,6,0,0
0,850,5,1,1
1,1371,0,6,1
3,897,5,1,1
2,1277,1,5,1
2,1073,6,0,0
2,384,3,3,1
3,366,0,6,1
0,798,5,1,1
6,132,0,6,1
4,610,6,0,0
5,1342,0,6,1
4,503,5,1,1
3,378,1,5,1
6,735,0,6,1
2,156,0,6,1
4,502,1,5,1
3,309,3,3,1
3,621,6,0,0
1,683,6,0,0
6,1182,4,2,1
3,1351,3,3,1
2,1111,5,1,1
3,955,5,1,1
3,27,1,5,1
1,792,6,0,0
1,722,6,0,0
6,186,1,5,1
1,987,5,1,1
1,856,6,0,0
6,1039,2,4,1
3,239,3,3,1
4,301,0,6,1
3,1122,4,2,1
0,929,5,1,1
4,1163,4,2,1
3,662,6,0,0
0,1385,0,6,1
3,676,6,0,0
3,127,4,2,1
6,326,1,5,1
0,1020,0,6,1
2,364,2,4,1
6,198,0,6,1
0,503,6,0,0
5,894,1,5,1
6,466,0,6,1
6,1053,2,4,1
3,7,0,6,1
0,1354,0,6,1
1,1302,0,6,1
5,471,0,6,1
1,1142,4,2,1
6,419,0,6,1
2,466,4,2,1
3,534,6,0,0
6,132,0,6,1
1,46,0,6,1
5,1338,0,6,1
1,358,0,6,1
0,314,0,6,1
5,45,0,6,1
4,1391,0,6,1
4,375,0,6,1
6,1002,3,3,1
5,1076,1,5,1
1,1209,1,5,1
3,1013,6,0,0
2,413,3,3,1
2,1090,5,1,1
3,404,0,6,1
5,210,1,5,1
2,209,0,6,1
1,305,0,6,1
2,289,0,6,1
6,1158,1,5,1
2,201,0,6,1
0,1301,0,6,1
3,1408,2,4,1
0,548,6,0,0
3,536,5,1,1
4,180,1,5,1
0,1102,0,6,1
5,1044,5,1,1
6,723,4,2,1
5,1041,5,1,1
5,678,0,6,1
4,1095,3,3,1
5,802,3,3,1
2,1258,5,1,1
2,855,6,0,0
5,1073,6,0,0
1,314,0,6,1
4,254,0,6,1
0,336,0,6,1
1,0,0,6,1
0,1239,0,6,1
6,124,0,6,1
4,644,6,0,0
3,937,5,1,1
2,441,4,2,1
3,987,5,1,1
0,988,0,6,1
6,1328,3,3,1
6,332,0,6,1
1,942,5,1,1
3,1339,1,5,1
1,1318,0,6,1
3,828,4,2,1
3,1313,2,4,1
4,1001,5,1,1
5,1432,1,5,1
2,916,5,1,1
4,896,6,0,0
1,1058,4,2,1
0,1414,0,6,1
2,883,6,0,0
1,1370,0,6,1
5,539,0,6,1
6,533,1,5,1
4,545,6,0,0
6,1009,3,3,1
3,76,1,5,1
5,842,1,5,1
3,1189,6,0,0
2,472,4,2,1
5,381,1,5,1
1,313,0,6,1
1,669,5,1,1
3,646,6,0,0
4,213,0,6,1
5,1162,3,3,1
6,860,3,3,1
5,284,1,5,1
4,1403,0,6,1
1,93,0,6,1
3,176,0,6,1
2,192,0,6,1
0,1391,0,6,1
1,705,6,0,0
0,651,6,0,0
3,988,4,2,1
4,1187,4,2,1
5,329,2,4,1
2,1240,5,1,1
6,898,3,3,1
2,1204,5,1,1
2,1227,2,4,1
4,1375,1,5,1
3,1366,2,4,1
3,1180,5,1,1
1,697,6,0,0
3,1304,4,2,1
2,1375,0,6,1
6,1405,0,6,1
2,1330,0,6,1
2,1404,0,6,1
2,701,4,2,1
4,623,6,0,0
0,641,6,0,0
4,1101,3,3,1
4,573,6,0,0
2,309,0,6,1
4,133,0,6,1
2,1087,4,2,1
3,307,0,6,1
6,967,4,2,1
1,1227,1,5,1
4,998,1,5,1
1,855,6,0,0
1,944,5,1,1
4,761,4,2,1
1,928,5,1,1
2,918,6,0,0
5,223,1,5,1
0,827,6,0,0
1,983,3,3,1
5,818,2,4,1
3,1339,4,2,1
2,324,0,6,1
1,979,5,1,1
1,467,3,3,1
3,1395,3,3,1
2,411,3,3,1
3,170,5,1,1
2,1165,5,1,1
5,738,0,6,1
0,681,5,1,1
6,1166,5,1,1
0,551,5,1,1
1,999,5,1,1
3,11,0,6,1
4,1400,0,6,1
2,602,2,4,1
3,744,6,0,0
2,746,6,0,0
5,585,0,6,1
6,759,0,6,1
1,119,0,6,1
4,929,0,6,1
0,486,4,2,1
3,61,1,5,1
1,746,6,0,0
5,365,0,6,1
6,705,1,5,1
0,845,6,0,0
6,4,0,6,1
2,1263,5,1,1
3,1118,4,2,1
4,356,0,6,1
1,894,6,0,0
2,667,4,2,1
4,636,3,3,1
0,283,0,6,1
4,915,2,4,1
6,866,2,4,1
3,486,1,5,1
1,746,4,2,1
0,852,5,1,1
0,101,0,6,1
2,1396,1,5,1
6,1248,3,3,1
2,1029,6,0,0
0,806,6,0,0
0,816,6,0,0
0,1100,0,6,1
6,846,3,3,1
3,980,5,1,1
2,65,1,5,1
4,856,6,0,0
0,632,5,1,1
3,997,4,2,1
4,706,3,3,1
0,1217,0,6,1
0,579,4,2,1
4,953,5,1,1
5,950,4,2,1
4,406,0,6,1
5,416,0,6,1
5,686,1,5,1
5,1254,4,2,1
2,334,0,6,1
4,264,0,6,1
6,659,0,6,1
3,530,6,0,0
4,1329,0,6,1
6,887,3,3,1
2,997,6,0,0
3,268,0,6,1
4,849,5,1,1
1,121,0,6,1
5,347,2,4,1
5,656,0,6,1
2,908,6,0,0
2,211,0,6,1
6,355,0,6,1
6,942,1,5,1
2,236,1,5,1
2,667,5,1,1
5,413,0,6,1
3,722,5,1,1
5,464,0,6,1
2,755,4,2,1
5,1344,0,6,1
0,222,0,6,1
3,1315,2,4,1
1,1381,0,6,1
6,1125,0,6,1
5,803,2,4,1
2,329,0,6,1
6,1270,3,3,1
1,345,0,6,1
2,1423,1,5,1
4,442,2,4,1
6,1184,4,2,1
0,976,3,3,1
2,1220,2,4,1
0,974,0,6,1
5,536,0,6,1
2,1142,5,1,1
5,250,0,6,1
2,257,0,6,1
6,1283,0,6,1
2,1162,4,2,1
2,1018,5,1,1
6,982,2,4,1
3,817,6,0,0
5,402,0,6,1
4,4,0,6,1
1,177,0,6,1
1,456,3,3,1
4,1000,1,5,1
3,358,1,5,1
5,1238,2,4,1
0,365,3,3,1
4,977,6,0,0
3,765,6,0,0
3,374,1,5,1
4,1089,3,3,1
3,1108,5,1,1
1,952,5,1,1
3,414,0,6,1
4,1335,0,6,1
0,19,0,6,1
3,682,5,1,1
1,1071,4,2,1
0,66,0,6,1
6,754,4,2,1
5,977,3,3,1
3,88,1,5,1
6,1024,4,2,1
4,961,1,5,1
4,1084,3,3,1
0,1294,0,6,1
3,1354,1,5,1
0,885,6,0,0
6,636,0,6,1
1,466,3,3,1
6,570,4,2,1
1,210,0,6,1
6,906,3,3,1
0,123,0,6,1
6,526,1,5,1
4,782,6,0,0
0,661,6,0,0
1,550,6,0,0
1,1047,3,3,1
5,420,0,6,1
5,1210,2,4,1
3,1156,6,0,0
0,608,6,0,0
0,616,6,0,0
5,691,0,6,1
3,296,1,5,1
2,1402,0,6,1
4,748,5,1,1
2,1378,0,6,1
0,1332,0,6,1
4,1251,1,5,1
4,614,6,0,0
6,536,1,5,1
3,453,0,6,1
0,1347,2,4,1
2,332,0,6,1
5,693,0,6,1
2,734,6,0,0
1,764,5,1,1
2,405,3,3,1
2,219,0,6,1
4,1312,0,6,1
2,58,0,6,1
6,904,3,3,1
4,1022,0,6,1
6,1023,4,2,1
0,174,1,5,1
4,42,0,6,1
0,974,3,3,1
5,1359,0,6,1
0,984,2,4,1
5,73,0,6,1
2,582,6,0,0
3,793,4,2,1
2,10,0,6,1
2,416,4,2,1
1,126,0,6,1
6,640,0,6,1
6,288,0,6,1
3,29,1,5,1
0,1387,2,4,1
5,265,0,6,1
0,1042,0,6,1
6,841,1,5,1
5,1056,6,0,0
0,1224,0,6,1
4,256,1,5,1
2,335,0,6,1
0,948,0,6,1
2,979,4,2,1
3,1224,5,1,1
4,1077,1,5,1
2,454,3,3,1
5,397,0,6,1
4,44,0,6,1
0,612,6,0,0
1,106,0,6,1
5,888,1,5,1
1,1285,0,6,1
6,1337,3,3,1
6,1066,5,1,1
6,881,3,3,1
5,502,0,6,1
5,477,0,6,1
4,1251,0,6,1
5,1427,1,5,1
0,479,4,2,1
0,59,0,6,1
6,715,1,5,1
4,0,0,6,1
5,202,0,6,1
0,1094,0,6,1
4,1127,2,4,1
0,1061,1,5,1
1,212,0,6,1
6,412,1,5,1
3,1285,1,5,1
3,598,6,0,0
6,262,0,6,1
2,432,3,3,1
6,855,2,4,1
6,915,2,4,1
2,1241,5,1,1
2,311,0,6,1
6,334,0,6,1
5,455,0,6,1
6,1019,4,2,1
1,507,5,1,1
0,1100,0,6,1
1,794,6,0,0
3,1167,6,0,0
5,677,1,5,1
2,573,6,0,0
1,25,0,6,1
0,470,5,1,1
6,489,0,6,1
2,1166,5,1,1
4,523,6,0,0
5,333,2,4,1
4,18,0,6,1
0,1156,6,0,0
0,1204,6,0,0
1,739,6,0,0
4,160,0,6,1
0,457,3,3,1
0,61,0,6,1
6,996,3,3,1
1,141,0,6,1
5,1180,3,3,1
6,262,0,6,1
3,284,0,6,1
0,1006,0,6,1
1,454,3,3,1
1,596,6,0,0
2,1421,0,6,1
4,109,0,6,1
0,1091,0,6,1
3,343,0,6,1
4,154,0,6,1
4,548,6,0,0
0,295,0,6,1
2,1126,5,1,1
3,17,0,6,1
3,697,5,1,1
2,1078,5,1,1
1,1302,0,6,1
4,918,2,4,1
4,126,0,6,1
4,1038,4,2,1
1,1150,3,3,1
5,257,0,6,1
5,799,2,4,1
2,760,4,2,1
4,246,0,6,1
4,964,6,0,0
0,776,6,0,0
5,341,0,6,1
2,351,0,6,1
6,1424,0,6,1
2,1289,0,6,1
2,561,6,0,0
3,853,5,1,1
3,0,0,6,1
6,915,3,3,1
4,671,4,2,1
4,677,6,0,0
4,795,4,2,1
1,763,5,1,1
3,1417,2,4,1
5,72,0,6,1
6,389,1,5,1
3,1311,2,4,1
0,938,0,6,1
0,392,3,3,1
5,445,0,6,1
5,668,0,6,1
4,143,1,5,1
2,1343,4,2,1
6,339,0,6,1
4,20,0,6,1
1,1338,0,6,1
1,413,0,6,1
3,1383,1,5,1
1,851,6,0,0
5,1056,2,4,1
2,510,5,1,1
0,543,5,1,1
6,618,1,5,1
4,576,6,0,0
0,680,6,0,0
1,670,5,1,1
4,1122,2,4,1
0,245,1,5,1
4,85,0,6,1
5,1032,5,1,1
5,75,0,6,1
5,82,0,6,1
1,40,1,5,1
4,907,2,4,1
2,399,3,3,1
1,359,0,6,1
2,308,0,6,1
2,855,3,3,1
3,1001,6,0,0
6,357,1,5,1
5,1349,0,6,1
2,726,6,0,0
4,342,0,6,1
3,1303,4,2,1
6,457,0,6,1
3,220,0,6,1
4,413,1,5,1
1,505,3,3,1
1,213,1,5,1
5,187,0,6,1
0,1063,1,5,1
5,818,1,5,1
4,1373,0,6,1
5,542,0,6,1
3,1338,4,2,1
6,1232,0,6,1
2,188,0,6,1
4,814,5,1,1
4,824,5,1,1
2,1184,5,1,1
4,380,0,6,1
5,714,2,4,1
4,1024,0,6,1
4,747,3,3,1
3,352,0,6,1
4,927,0,6,1
3,264,0,6,1
2,404,3,3,1
1,828,6,0,0
4,1325,0,6,1
2,1055,6,0,0
3,513,4,2,1
2,1072,6,0,0
6,1205,0,6,1
4,127,0,6,1
2,434,3,3,1
5,1149,3,3,1
6,885,3,3,1
5,1130,2,4,1
1,390,0,6,1
0,890,6,0,0
5,1431,0,6,1
1,24,0,6,1
1,1295,0,6,1
0,369,3,3,1
5,951,4,2,1
0,799,5,1,1
3,560,5,1,1
2,47,0,6,1
3,1210,4,2,1
3,117,1,5,1
6,1000,3,3,1
1,1220,1,5,1
6,384,1,5,1
4,714,6,0,0
0,1393,2,4,1
1,981,5,1,1
4,1376,1,5,1
3,52,0,6,1
1,1385,0,6,1
0,966,0,6,1
6,425,0,6,1
5,753,0,6,1
2,822,6,0,0
2,523,5,1,1
5,1407,0,6,1
5,304,0,6,1
1,555,6,0,0
4,1057,1,5,1
1,339,0,6,1
1,823,6,0,0
6,419,0,6,1
1,1199,3,3,1
3,908,6,0,0
1,789,6,0,0
3,262,0,6,1
5,703,0,6,1
6,804,0,6,1
6,1128,6,0,0
1,1009,3,3,1
3,567,5,1,1
2,1316,5,1,1
4,872,6,0,0
3,12,0,6,1
4,1049,3,3,1
0,354,0,6,1
4,1167,4,2,1
4,931,5,1,1
5,131,0,6,1
2,885,6,0,0
1,300,0,6,1
2,1159,5,1,1
4,836,6,0,0
5,135,0,6,1
4,202,0,6,1
5,55,0,6,1
1,499,3,3,1
1,1028,5,1,1
0,766,5,1,1
3,966,4,2,1
2,659,5,1,1
0,176,1,5,1
5,330,0,6,1
6,233,1,5,1
0,1286,4,2,1
2,778,6,0,0
4,150,0,6,1
6,370,1,5,1
4,1107,3,3,1
2,151,0,6,1
5,1324,0,6,1
2,576,2,4,1
3,520,2,4,1
0,80,0,6,1
2,859,6,0,0
0,1000,0,6,1
5,822,1,5,1
2,1091,5,1,1
3,488,1,5,1
2,1070,6,0,0
3,1071,4,2,1
2,1419,0,6,1
6,187,0,6,1
1,1313,0,6,1
0,1125,3,3,1
0,397,3,3,1
5,1330,0,6,1
2,275,1,5,1
2,89,0,6,1
6,937,4,2,1
6,464,0,6,1
0,591,6,0,0
5,1314,1,5,1
1,1216,2,4,1
1,206,0,6,1
1,294,0,6,1
6,136,0,6,1
2,1017,5,1,1
2,351,0,6,1
1,1350,0,6,1
3,403,0,6,1
3,400,0,6,1
0,1060,1,5,1
3,1133,5,1,1
3,1102,4,2,1
4,459,1,5,1
1,860,6,0,0
5,21,0,6,1
2,981,4,2,1
5,429,0,6,1
0,723,4,2,1
5,1094,1,5,1
2,643,3,3,1
0,1225,0,6,1
1,718,6,0,0
2,976,4,2,1
6,1211,0,6,1
0,1043,0,6,1
4,768,6,0,0
4,947,5,1,1
0,571,5,1,1
3,933,3,3,1
5,1401,0,6,1
2,835,6,0,0
0,1305,3,3,1
2,583,6,0,0
1,160,2,4,1
4,357,0,6,1
1,1057,3,3,1
4,498,5,1,1
1,570,6,0,0
2,914,6,0,0
4,205,0,6,1
3,1329,2,4,1
6,873,3,3,1
6,275,0,6,1
6,1400,0,6,1
4,24,0,6,1
4,461,1,5,1
6,1308,0,6,1
5,194,0,6,1
6,1420,0,6,1
6,1069,5,1,1
3,144,4,2,1
5,1392,0,6,1
2,376,2,4,1
6,808,0,6,1
4,47,0,6,1
0,358,0,6,1
1,447,3,3,1
4,126,0,6,1
6,411,1,5,1
4,904,2,4,1
2,714,6,0,0
5,1178,3,3,1
3,1108,6,0,0
3,798,3,3,1
2,1415,1,5,1
2,727,6,0,0
0,1419,0,6,1
0,81,0,6,1
3,129,4,2,1
5,309,0,6,1
2,1040,6,0,0
5,501,0,6,1
4,503,1,5,1
6,1177,1,5,1
6,1015,4,2,1
2,92,1,5,1
4,1009,1,5,1
0,979,3,3,1
3,2,0,6,1
6,1233,0,6,1
4,398,0,6,1
2,279,1,5,1
5,821,2,4,1
6,955,4,2,1
3,919,5,1,1
4,185,1,5,1
1,1159,2,4,1
6,102,0,6,1
4,1250,0,6,1
4,291,0,6,1
4,1304,0,6,1
4,251,0,6,1
0,847,3,3,1
5,511,0,6,1
5,1108,1,5,1
2,785,6,0,0
6,601,3,3,1
1,662,5,1,1
4,1369,1,5,1
2,1349,0,6,1
1,920,4,2,1
6,598,2,4,1
0,517,5,1,1
4,543,6,0,0
3,727,5,1,1
3,1276,1,5,1
6,896,3,3,1
1,1161,3,3,1
6,504,1,5,1
2,414,4,2,1
4,733,2,4,1
3,880,5,1,1
4,317,0,6,1
4,268,0,6,1
0,555,5,1,1
6,159,1,5,1
4,104,0,6,1
2,590,1,5,1
6,348,1,5,1
6,1423,0,6,1
0,237,1,5,1
3,1301,2,4,1
6,593,4,2,1
0,618,6,0,0
0,603,6,0,0
4,538,6,0,0
0,1343,2,4,1
0,1207,0,6,1
1,1340,0,6,1
3,245,0,6,1
3,1017,5,1,1
3,1122,6,0,0
1,925,6,0,0
5,175,1,5,1
3,1067,6,0,0
1,1168,2,4,1
0,29,0,6,1
0,828,5,1,1
6,619,1,5,1
6,20,0,6,1
0,1125,0,6,1
4,1223,2,4,1
5,463,0,6,1
3,523,4,2,1
3,675,6,0,0
2,326,0,6,1
3,42,1,5,1
4,821,5,1,1
5,872,4,2,1
2,50,1,5,1
3,768,2,4,1
5,226,2,4,1
2,240,1,5,1
4,43,0,6,1
3,815,5,1,1
5,1297,2,4,1
4,871,6,0,0
3,399,0,6,1
6,490,0,6,1
3,756,2,4,1
1,733,6,0,0
3,34,1,5,1
4,331,0,6,1
1,920,6,0,0
2,168,0,6,1
4,968,0,6,1
1,895,6,0,0
4,395,0,6,1
2,491,2,4,1
0,1425,0,6,1
4,743,5,1,1
5,1193,4,2,1
4,118,0,6,1
5,1051,3,3,1
3,566,6,0,0
0,1041,0,6,1
2,919,5,1,1
2,221,0,6,1
5,467,0,6,1
6,894,3,3,1
1,1002,3,3,1
2,52,0,6,1
6,163,1,5,1
5,1075,6,0,0
2,1110,5,1,1
3,609,6,0,0
2,1142,4,2,1
0,273,0,6,1
6,222,1,5,1
0,758,4,2,1
5,1270,2,4,1
1,1422,0,6,1
1,1107,6,0,0
1,938,5,1,1
5,1120,2,4,1
4,108,0,6,1
2,316,0,6,1
6,434,0,6,1
1,714,6,0,0
5,684,1,5,1
5,1171,3,3,1
0,253,0,6,1
1,1429,0,6,1
1,977,5,1,1
0,673,6,0,0
6,190,0,6,1
2,738,4,2,1
6,1236,0,6,1
2,1067,6,0,0
2,1032,6,0,0
6,1034,2,4,1
1,104,0,6,1
4,293,0,6,1
2,231,0,6,1
3,619,6,0,0
6,882,3,3,1
4,462,1,5,1
0,356,4,2,1
2,1421,1,5,1
5,1378,0,6,1
6,234,0,6,1
3,1316,5,1,1
4,792,6,0,0
1,982,6,0,0
4,735,6,0,0
1,780,6,0,0
5,164,0,6,1
4,1100,3,3,1
3,1083,4,2,1
5,354,0,6,1
6,646,0,6,1
0,583,6,0,0
0,1387,0,6,1
4,1431,0,6,1
6,763,0,6,1
2,1076,5,1,1
6,6,0,6,1
4,1065,3,3,1
2,518,3,3,1
6,201,0,6,1
2,1141,5,1,1
1,1189,3,3,1
5,596,1,5,1
4,427,0,6,1
3,19,0,6,1
4,1031,0,6,1
3,1321,4,2,1
6,859,3,3,1
5,669,0,6,1
6,1306,3,3,1
5,1042,3,3,1
6,254,1,5,1
5,1256,4,2,1
0,601,6,0,0
5,198,1,5,1
2,1089,4,2,1
6,1263,3,3,1
4,1162,2,4,1
1,901,6,0,0
6,1375,0,6,1
3,1375,1,5,1
1,1325,0,6,1
2,1042,6,0,0
6,264,0,6,1
0,1412,0,6,1
3,1431,0,6,1
2,502,2,4,1
2,1290,6,0,0
5,1424,1,5,1
1,984,5,1,1
6,1035,4,2,1
4,1270,0,6,1
4,489,4,2,1
2,869,4,2,1
6,1178,1,5,1
0,704,5,1,1
1,1178,3,3,1
4,488,1,5,1
4,638,6,0,0
1,99,0,6,1
5,131,0,6,1
3,918,5,1,1
1,1282,0,6,1
0,1227,0,6,1
6,339,1,5,1
5,504,0,6,1
1,111,0,6,1
3,379,0,6,1
4,424,0,6,1
0,481,4,2,1
5,650,0,6,1
3,118,1,5,1
6,901,3,3,1
0,56,0,6,1
3,860,6,0,0
1,922,6,0,0
5,928,2,4,1
6,76,0,6,1
2,9,0,6,1
2,895,6,0,0
2,254,0,6,1
6,173,1,5,1
2,431,4,2,1
1,432,1,5,1
1,837,6,0,0
0,682,5,1,1
6,646,5,1,1
3,929,4,2,1
4,1366,1,5,1
3,1116,6,0,0
3,447,1,5,1
0,1030,2,4,1
6,1438,0,6,1
4,482,1,5,1
4,512,5,1,1
2,904,6,0,0
6,471,0,6,1
1,5,0,6,1
2,1214,3,3,1
0,524,6,0,0
4,717,3,3,1
2,161,0,6,1
2,892,6,0,0
5,1312,1,5,1
5,1305,0,6,1
5,231,2,4,1
1,921,4,2,1
0,110,0,6,1
5,69,0,6,1
1,1035,4,2,1
5,474,0,6,1
4,608,6,0,0
0,1119,2,4,1
6,195,0,6,1
5,726,0,6,1
6,620,1,5,1
5,745,0,6,1
0,1393,0,6,1
1,1414,0,6,1
3,966,5,1,1
1,1300,0,6,1
6,866,3,3,1
3,1374,3,3,1
3,723,6,0,0
2,1035,6,0,0
1,885,6,0,0
2,746,4,2,1
5,1215,2,4,1
5,670,0,6,1
5,524,0,6,1
0,1313,2,4,1
3,342,0,6,1
1,961,5,1,1
5,830,1,5,1
5,1214,4,2,1
6,187,1,5,1
5,1087,1,5,1
1,652,6,0,0
0,716,6,0,0
2,851,5,1,1
3,570,6,0,0
3,984,4,2,1
0,748,6,0,0
